,JPL_cm
2002-04-30,-10.461947515774428
2002-05-31,-14.930807119243031
2002-06-30,
2002-07-31,
2002-08-31,5.8364408166271815
2002-09-30,13.631826216781148
2002-10-31,10.530258681374145
2002-11-30,1.0281330945588036
2002-12-31,-3.4343370274932563
2003-01-31,-10.311022318530277
2003-02-28,-15.592548199532619
2003-03-31,-19.940151706655826
2003-04-30,-20.798318942131186
2003-05-31,-24.404573554943866
2003-06-30,
2003-07-31,-6.245288248313967
2003-08-31,11.41097042254947
2003-09-30,14.16850289853768
2003-10-31,11.97960505442197
2003-11-30,7.143442335657586
2003-12-31,5.434324685845483
2004-01-31,-1.8173688958090983
2004-02-29,-6.450032160241848
2004-03-31,-14.45358223531678
2004-04-30,-14.92209446654612
2004-05-31,-19.811744318781418
2004-06-30,-15.707246821464334
2004-07-31,-3.830492199430295
2004-08-31,8.821394875685744
2004-09-30,7.234957884428616
2004-10-31,6.485439833426178
2004-11-30,-0.13119334742097621
2004-12-31,-5.356082781220637
2005-01-31,-13.087820164124407
2005-02-28,-15.310976442794868
2005-03-31,-19.109731561118778
2005-04-30,-22.06506377199664
2005-05-31,-25.31991408505377
2005-06-30,-25.512654669095333
2005-07-31,-9.399566591488362
2005-08-31,11.041299421730393
2005-09-30,23.669023767731996
2005-10-31,25.832026462146597
2005-11-30,23.87027353837057
2005-12-31,10.616674489050935
2006-01-31,3.2457371993327513
2006-02-28,-2.3338915197430965
2006-03-31,-3.7652098066694855
2006-04-30,-10.613105764858478
2006-05-31,-12.635383894407902
2006-06-30,-13.919380579855769
2006-07-31,-0.8314954944504187
2006-08-31,20.52909929159967
2006-09-30,21.104284438128673
2006-10-31,21.90109845400706
2006-11-30,14.501075831074049
2006-12-31,9.158331217856679
2007-01-31,0.5021365876309604
2007-02-28,-2.373516312822795
2007-03-31,-8.457726545541796
2007-04-30,-12.505291752062487
2007-05-31,-15.421286386876814
2007-06-30,-6.652262892324094
2007-07-31,12.513571482428942
2007-08-31,17.089376853258077
2007-09-30,25.428726644658433
2007-10-31,27.249591425874794
2007-11-30,18.186167434121668
2007-12-31,9.536934106001505
2008-01-31,3.093873424170698
2008-02-29,-2.1668803785889295
2008-03-31,-2.8248605816122114
2008-04-30,-6.445380540266686
2008-05-31,-13.798657343959608
